DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,153,77,3,-4,6,0,0.00000,0.00000.1,0.1,2848035556,155,73,4,-3,91712127,AQI
2025-03-01 05:28:40-08:00,23.39,174.64700000000002,11.115,8.977500000000001,0.324,424.94,22.4,32.4,0.0,0.24,0.24,0.0,0.0,1,13.91,0.13,30.53,1,-7,50.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.25680000000000003
2025-03-01 05:29:40-08:00,23.39,172.139,10.737,8.9355,1.056,424.9,22.3,32.5,0.0,0.13,0.18,0.0,0.0,1,13.87,0.04,32.66,1,-5,52.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.31520000000000004
2025-03-01 05:30:40-08:00,23.39,172.78800000000004,10.242,7.990500000000001,0.45599999999999996,424.96,22.4,32.4,0.03,0.37,0.39,0.0,0.0,1,13.87,0.01,27.35,1,-6,53.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.3872
2025-03-01 05:31:40-08:00,23.39,174.98800000000003,10.071,7.2345,1.296,424.99,22.3,32.5,0.01,0.47,0.47,0.0,0.0,1,13.87,0.0,27.67,1,-7,53.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.6352
2025-03-01 05:32:39-08:00,23.39,176.275,9.891,7.8435,1.932,424.56,22.3,32.4,0.0,0.21,0.21,0.0,0.0,1,14.16,274.22,38.11,1,-7,52.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5544
2025-03-01 05:33:40-08:00,23.39,171.028,9.018,8.8305,-0.324,424.7,22.3,32.5,0.0,0.16,0.16,0.0,0.0,1,14.05,96.44,32.81,1,-6,54.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.06319999999999999
2025-03-01 05:34:40-08:00,23.39,173.8,9.441,8.421,-0.108,424.76,22.4,32.5,0.12,0.31,0.31,0.0,0.0,1,14.02,27.24,30.18,1,-7,52.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.2264
2025-03-01 05:35:40-08:00,23.39,168.927,10.125,8.6415,1.428,424.89,22.3,32.5,0.17,0.36,0.36,0.0,0.0,1,13.98,7.69,29.0,1,-5,52.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5736
2025-03-01 05:36:40-08:00,23.39,172.282,9.774,8.841000000000001,-0.348,424.96,22.3,32.4,0.06,0.24,0.24,0.0,0.0,1,13.95,2.17,29.89,1,-6,53.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.12240000000000001
2025-03-01 05:37:40-08:00,23.39,171.66600000000003,8.964,9.2085,-1.788,424.79,22.3,32.4,0.09,0.42,0.42,0.0,0.0,1,13.91,0.61,34.77,1,-5,54.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.021600000000000008
2025-03-01 05:38:40-08:00,23.39,172.073,10.386,8.946,-1.2,424.93,22.3,32.5,0.03,0.15,0.15,0.0,0.0,1,13.91,0.17,31.77,1,-5,52.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.12
2025-03-01 05:39:40-08:00,23.39,174.92200000000003,10.08,7.6335,0.036,425.12,22.3,32.5,0.01,0.26,0.47,0.0,0.0,1,13.87,0.05,31.27,1,-7,52.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.21520000000000003
2025-03-01 05:40:40-08:00,23.39,171.556,9.918,7.9695,0.036,425.66,22.3,32.4,0.0,0.09,0.16,0.0,0.0,1,13.87,0.01,31.21,1,-5,53.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.07919999999999999
2025-03-01 05:41:41-08:00,23.39,171.16,9.485999999999999,8.9355,-0.48,425.26,22.3,32.5,0.0,0.11,0.13,0.0,0.0,1,13.87,0.0,26.73,1,-5,53.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.007999999999999993
2025-03-01 05:42:41-08:00,23.39,170.87400000000002,9.333,8.9355,0.264,425.01,22.3,32.5,0.17,0.46,0.46,0.0,0.0,1,14.05,164.19,27.53,1,-4,53.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.42080000000000006
2025-03-01 05:43:41-08:00,23.39,173.70100000000002,9.909,8.085,0.264,424.74,22.3,32.5,0.05,0.44,0.44,0.0,0.0,1,14.09,162.63,32.84,1,-6,52.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.40480000000000005
2025-03-01 05:44:41-08:00,23.39,173.778,9.135,7.812000000000001,1.212,424.39,22.3,32.5,0.02,0.32,0.38,0.0,0.0,1,14.02,45.93,27.86,1,-7,53.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.4984
2025-03-01 05:45:41-08:00,23.39,176.78100000000003,10.368,8.473500000000001,-1.02,424.37,22.3,32.4,0.01,0.37,0.39,0.0,0.0,1,13.98,12.97,34.95,1,-8,51.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.09199999999999997
2025-03-01 05:46:41-08:00,23.39,174.86700000000002,10.485000000000001,8.7045,-0.588,424.35,22.3,32.4,0.0,0.33,0.33,0.0,0.0,1,13.95,3.66,32.17,1,-6,52.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.14640000000000003
2025-03-01 05:47:44-08:00,23.39,173.514,9.666,8.0535,-0.576,424.49,22.3,32.5,0.0,0.39,0.39,0.0,0.0,1,13.91,1.03,29.15,1,-6,53.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.19680000000000006
2025-03-01 05:48:44-08:00,23.39,174.13000000000002,9.837,8.883000000000001,-1.68,424.17,22.3,32.5,0.0,0.77,0.77,0.0,0.0,1,13.91,0.29,36.01,1,-7,53.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.2800000000000001
2025-03-01 05:49:44-08:00,23.39,172.436,9.405,8.925,-1.26,424.06,22.3,32.5,0.0,0.35,0.35,0.0,0.0,1,13.87,0.08,31.42,1,-5,53.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.02799999999999997
2025-03-01 05:50:44-08:00,23.39,177.793,9.972,9.2925,-1.896,424.02,22.3,32.5,0.36,0.73,0.73,0.0,0.0,1,13.87,0.02,27.07,1,-8,52.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.20479999999999998
2025-03-01 05:51:44-08:00,23.39,173.129,10.232999999999999,9.093,-0.168,424.01,22.3,32.5,0.15,0.42,0.42,0.0,0.0,1,13.87,0.01,28.67,1,-6,51.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.3024
2025-03-01 05:52:44-08:00,23.39,176.99,10.287,8.736,-0.852,424.0,22.3,32.4,0.05,0.13,0.13,0.0,0.0,1,13.84,0.0,31.06,1,-8,52.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.06639999999999999
