DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,83,46,2,-1,3910151013,3,2341516188,AQI
2025-03-17 17:39:56-07:00,21.67,263.12,9.036,13.146,14.411999999999999,448.5,20.8,30.0,3.7,5.89,6.0,28.0,1,2.0,STAT,,,,7.5944
2025-03-17 17:40:57-07:00,21.68,267.872,10.232999999999999,12.6735,14.616,448.76,20.8,30.0,3.7,5.47,5.5,27.0,1,3.0,STAT,,,,7.299200000000001
2025-03-17 17:41:57-07:00,21.68,254.199,8.568,12.8625,13.956000000000001,448.91,20.8,30.0,3.27,4.89,5.09,29.0,1,3.0,STAT,,,,6.703200000000001
2025-03-17 17:42:57-07:00,21.69,277.09000000000003,9.864,12.222000000000001,14.952,448.97,20.8,30.0,3.15,5.35,5.93,28.0,1,2.0,STAT,,,,7.2704
2025-03-17 17:43:57-07:00,21.69,272.58000000000004,9.360000000000001,12.138000000000002,15.203999999999999,448.99,20.8,30.0,3.31,5.32,5.5,28.0,1,2.0,STAT,,,,7.2968
2025-03-17 17:44:57-07:00,21.69,265.617,9.54,11.896500000000001,17.939999999999998,449.0,20.8,30.0,3.53,5.38,5.51,28.0,1,3.0,STAT,,,,7.8919999999999995
2025-03-17 17:45:57-07:00,21.69,266.387,10.376999999999999,12.6735,16.836,448.59,20.8,30.0,3.6,5.84,5.88,28.0,1,3.0,STAT,,,,8.0392
2025-03-17 17:46:57-07:00,21.7,269.324,9.414000000000001,11.865000000000002,16.284,448.82,20.8,30.0,3.63,5.62,5.76,28.0,1,2.0,STAT,,,,7.752800000000001
2025-03-17 17:47:53-07:00,21.7,274.98900000000003,10.341000000000001,12.285,14.988,449.51,20.8,30.1,4.12,5.55,5.6,28.0,1,2.0,STAT,,,,7.437600000000001
2025-03-17 17:48:54-07:00,21.7,281.413,11.645999999999999,12.652500000000002,14.687999999999999,450.24,20.8,30.1,3.95,5.44,5.45,26.0,1,2.0,STAT,,,,7.2896
2025-03-17 17:49:54-07:00,21.7,256.83900000000006,10.062,13.398,14.868,451.35,20.8,30.1,4.06,5.51,5.55,26.0,2,2.0,STAT,,,,7.381600000000001
2025-03-17 17:50:54-07:00,21.7,272.48100000000005,9.882000000000001,13.3665,14.904,451.77,20.9,30.1,4.0,5.85,6.13,27.0,1,3.0,STAT,,,,7.6608
2025-03-17 17:51:54-07:00,21.7,265.78200000000004,8.937,12.3585,16.152,451.3,20.8,30.2,4.06,5.93,6.02,29.0,1,2.0,STAT,,,,7.9744
2025-03-17 17:52:55-07:00,21.7,274.956,11.313,12.9675,15.192,451.65,20.9,30.1,4.04,5.6,5.63,27.0,1,2.0,STAT,,,,7.5184
2025-03-17 17:53:55-07:00,21.7,267.333,11.223,13.177500000000002,13.812,452.49,20.9,30.3,3.53,5.83,5.84,27.0,2,2.0,STAT,,,,7.426400000000001
2025-03-17 17:54:55-07:00,21.7,275.473,11.196,13.293000000000001,14.016,453.32,20.9,30.3,3.8,5.5,5.76,27.0,1,2.0,STAT,,,,7.203200000000001
2025-03-17 17:55:56-07:00,21.71,270.358,11.331,12.957,15.672,454.46,20.9,30.3,3.84,5.28,5.81,26.0,1,3.0,STAT,,,,7.3584000000000005
2025-03-17 17:56:56-07:00,21.74,259.05,10.08,13.5975,14.664,455.42,20.9,30.3,3.58,4.89,5.06,27.0,1,2.0,STAT,,,,6.8448
2025-03-17 17:57:56-07:00,21.76,253.30800000000002,10.773000000000001,12.316500000000001,16.296,456.26,20.9,30.1,3.9,5.78,5.98,27.0,1,2.0,STAT,,,,7.8832
2025-03-17 17:58:56-07:00,21.77,276.353,12.087,12.6105,15.732,456.09,20.9,30.2,4.05,6.21,6.27,26.0,1,2.0,STAT,,,,8.1144
2025-03-17 17:59:56-07:00,21.78,272.723,11.241,13.2195,14.76,455.53,20.9,30.0,4.25,6.18,6.46,26.0,1,3.0,STAT,,,,7.896
2025-03-17 18:00:56-07:00,21.78,277.84900000000005,11.601,12.6735,14.747999999999998,454.7,20.9,29.9,4.08,5.78,5.92,26.0,1,2.0,STAT,,,,7.573600000000001
2025-03-17 18:01:56-07:00,21.79,282.271,12.375,12.736500000000001,13.895999999999999,453.6,20.9,29.9,3.99,5.73,5.92,26.0,1,2.0,STAT,,,,7.363200000000001
2025-03-17 18:02:57-07:00,21.79,266.695,11.007000000000001,12.9675,14.28,453.29,20.9,30.1,3.42,4.78,4.86,26.0,1,2.0,STAT,,,,6.68
2025-03-17 18:03:57-07:00,21.79,271.48,10.251000000000001,14.794500000000001,11.952,456.5,20.9,30.3,3.05,4.73,4.96,26.0,1,2.0,STAT,,,,6.1744
2025-03-17 18:04:57-07:00,21.79,273.35,10.863000000000001,13.912500000000001,12.312,461.94,20.9,30.2,3.06,4.95,5.23,27.0,1,2.0,STAT,,,,6.4224000000000006
2025-03-17 18:05:57-07:00,21.79,280.027,11.097,13.398,13.188,465.67,20.9,30.1,3.03,4.71,4.94,28.0,1,2.0,STAT,,,,6.405600000000001
2025-03-17 18:06:57-07:00,21.79,277.541,11.529,13.062,14.16,467.18,20.9,29.9,3.46,5.36,5.44,28.0,1,2.0,STAT,,,,7.120000000000001
2025-03-17 18:07:56-07:00,21.79,289.44300000000004,11.484,13.177500000000002,14.856,466.55,20.9,30.0,3.17,5.24,5.26,27.0,1,3.0,STAT,,,,7.1632
2025-03-17 18:08:56-07:00,21.8,282.821,10.701,13.125,14.616,464.12,21.0,30.1,3.63,5.48,5.49,28.0,1,3.0,STAT,,,,7.3072
2025-03-17 18:09:56-07:00,21.8,270.05,10.584,13.020000000000001,14.243999999999998,462.83,21.0,30.1,3.18,4.64,4.81,29.0,1,2.0,STAT,,,,6.5607999999999995
2025-03-17 18:10:56-07:00,21.8,280.61,11.052,12.768,14.952,462.94,21.0,29.9,3.3,5.02,5.33,28.0,1,2.0,STAT,,,,7.0064
2025-03-17 18:11:56-07:00,21.8,278.432,11.655,13.314,15.227999999999998,462.98,21.0,29.9,3.43,5.07,5.7,26.0,2,3.0,STAT,,,,7.1015999999999995
2025-03-17 18:12:57-07:00,21.8,277.409,11.718,13.293000000000001,14.975999999999999,462.02,21.0,29.9,3.78,5.47,5.67,26.0,1,2.0,STAT,,,,7.3712
2025-03-17 18:13:58-07:00,21.8,274.725,12.222,13.723500000000001,12.815999999999999,460.25,21.0,29.9,3.74,5.08,5.15,25.0,1,2.0,STAT,,,,6.6272
2025-03-17 18:14:58-07:00,21.81,265.08900000000006,11.565,13.062,13.643999999999998,458.79,21.0,29.9,3.91,5.5,5.98,27.0,1,2.0,STAT,,,,7.1288
2025-03-17 18:15:58-07:00,21.84,278.454,10.296,12.978,14.831999999999999,457.71,21.0,29.9,3.82,5.6,5.76,28.0,1,3.0,STAT,,,,7.4464
2025-03-17 18:16:58-07:00,21.86,274.153,12.177,12.4215,15.792,457.9,21.0,29.8,3.74,5.1,5.15,27.0,1,2.0,STAT,,,,7.2384
2025-03-17 18:17:58-07:00,21.87,276.903,11.133,12.400500000000001,15.084,457.96,21.0,29.8,3.88,5.66,5.68,27.0,1,2.0,STAT,,,,7.5448
2025-03-17 18:18:58-07:00,21.87,278.036,9.342,13.188,13.176,457.99,21.0,29.8,3.93,5.79,5.79,29.0,1,2.0,STAT,,,,7.267200000000001
2025-03-17 18:19:58-07:00,21.88,277.156,11.511,12.9885,14.975999999999999,457.59,21.0,29.8,4.45,6.32,6.66,28.0,1,3.0,STAT,,,,8.051200000000001
