DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,275,78,0,-11,6,0.1,0.00000,0.00000.1,0.2,758574998,148,72,2,-5,1320373942,AQI
2025-02-23 03:38:33-08:00,22.29,175.087,11.115,7.3709999999999996,-1.6440000000000001,419.0,21.4,36.6,0.0,0.07,0.14,0.0,0.0,1,13.87,0.04,29.13,1,-7,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.27280000000000004
2025-02-23 03:39:33-08:00,22.29,177.36400000000003,10.764000000000001,7.549500000000001,-2.196,418.92,21.4,36.6,0.0,0.28,0.3,0.0,0.0,1,13.87,0.01,29.33,1,-8,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.2152
2025-02-23 03:40:33-08:00,22.29,178.112,10.989,11.697000000000001,-5.952,418.56,21.5,36.6,0.0,0.11,0.12,0.0,0.0,1,13.87,0.0,29.67,1,-9,47.0,8.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-1.1024
2025-02-23 03:41:34-08:00,22.29,172.68900000000002,11.106,9.66,-3.84,418.2,21.4,36.6,0.0,0.26,0.27,0.0,0.0,1,14.16,273.55,32.57,1,-6,48.0,5.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.56
2025-02-23 03:42:34-08:00,22.28,176.869,10.728,8.295,-3.816,418.07,21.4,36.6,0.0,0.26,0.26,0.0,0.0,1,14.05,125.25,33.45,1,-8,49.0,2.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.5551999999999999
2025-02-23 03:43:34-08:00,22.29,180.411,10.962,8.064,-2.688,418.02,21.4,36.5,0.0,0.15,0.24,0.0,0.0,1,13.98,35.37,31.59,1,-10,49.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.4176000000000001
2025-02-23 03:44:34-08:00,22.29,175.351,11.025,8.001000000000001,-2.388,417.54,21.4,36.5,0.0,0.05,0.41,0.0,0.0,1,13.98,9.99,26.69,1,-7,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.4376
2025-02-23 03:45:34-08:00,22.29,176.22,10.935,7.5600000000000005,-0.432,417.19,21.4,36.6,0.13,0.47,0.61,0.0,0.0,1,13.95,2.82,27.83,1,-8,47.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.28959999999999997
2025-02-23 03:46:36-08:00,22.29,179.43200000000002,10.305,7.9275,-0.732,417.07,21.4,36.6,0.04,0.16,0.35,0.0,0.0,1,13.91,0.8,30.56,1,-10,49.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.0184
2025-02-23 03:47:36-08:00,22.29,176.67100000000002,9.72,7.938,-1.224,417.67,21.4,36.6,0.01,0.05,0.58,0.0,0.0,1,13.91,0.23,32.36,1,-8,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.2048
2025-02-23 03:48:36-08:00,22.29,175.59300000000002,10.575000000000001,7.056,-0.132,417.51,21.4,36.6,0.0,0.24,1.46,0.0,0.0,1,13.87,0.06,30.55,1,-8,49.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.1656
2025-02-23 03:49:36-08:00,22.29,175.65900000000002,10.908,7.1715,0.024,417.32,21.4,36.6,0.0,0.19,0.82,0.0,0.0,1,13.87,0.02,26.38,1,-8,49.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.15680000000000002
2025-02-23 03:50:36-08:00,22.29,178.78300000000002,10.575000000000001,6.4785,0.372,417.11,21.4,36.5,0.0,0.06,0.27,0.0,0.0,1,13.87,0.01,28.11,1,-8,49.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.12240000000000001
2025-02-23 03:51:36-08:00,22.29,178.18900000000002,10.674,6.9615,-0.49199999999999994,417.04,21.4,36.6,0.0,0.02,0.13,0.0,0.0,1,13.98,173.55,29.24,1,-8,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.08239999999999999
2025-02-23 03:52:37-08:00,22.29,177.67200000000003,11.277,7.612500000000001,-1.548,417.01,21.4,36.6,0.0,0.01,0.04,0.0,0.0,1,14.09,186.12,34.64,1,-9,47.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.30160000000000003
2025-02-23 03:53:37-08:00,22.28,178.244,11.565,7.9799999999999995,-1.08,417.01,21.4,36.6,0.0,0.0,0.01,0.0,0.0,1,14.02,52.57,28.5,1,-9,47.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.21600000000000003
2025-02-23 03:54:37-08:00,22.29,178.31,11.889000000000001,7.2975,0.948,416.5,21.4,36.6,0.0,0.03,0.12,0.0,0.0,1,13.98,14.85,29.25,1,-9,47.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.21359999999999998
2025-02-23 03:55:37-08:00,22.29,175.30700000000002,11.520000000000001,7.9799999999999995,0.036,416.05,21.4,36.5,0.0,0.03,0.14,0.0,0.0,1,13.95,4.19,29.95,1,-8,48.0,2.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.0312
2025-02-23 03:56:37-08:00,22.29,178.651,10.476,8.001000000000001,-3.54,416.41,21.4,36.5,0.0,0.01,0.08,0.0,0.0,1,13.91,1.18,29.75,1,-10,49.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.7000000000000001
2025-02-23 03:57:38-08:00,22.29,181.86300000000003,10.701,7.591500000000001,-1.344,416.44,21.4,36.6,0.0,0.43,0.62,0.0,0.0,1,13.91,0.33,37.82,1,-11,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.07519999999999999
2025-02-23 03:58:38-08:00,22.29,179.99300000000002,10.98,8.0325,-2.5559999999999996,416.74,21.4,36.5,0.17,0.56,0.62,0.0,0.0,1,13.87,0.09,30.51,1,-10,49.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.06319999999999992
2025-02-23 03:59:39-08:00,22.29,178.178,11.133,8.274000000000001,-3.816,416.33,21.4,36.6,0.06,0.69,0.76,0.0,0.0,1,13.87,0.03,28.25,1,-8,48.0,2.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.21120000000000005
2025-02-23 04:00:39-08:00,22.29,175.109,11.367,7.9590000000000005,-0.12,416.11,21.4,36.6,0.02,0.55,0.86,0.0,0.0,1,13.87,0.01,29.04,1,-7,47.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.41600000000000004
2025-02-23 04:01:39-08:00,22.29,177.342,11.403,8.599499999999999,-1.164,416.04,21.4,36.6,0.01,0.32,0.51,0.0,0.0,1,14.05,162.58,32.51,1,-8,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.0232
2025-02-23 04:02:35-08:00,22.28,179.157,11.025,7.812000000000001,-2.172,416.02,21.4,36.5,0.0,0.15,0.38,0.0,0.0,1,14.09,178.26,35.73,1,-10,49.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.31440000000000007
2025-02-23 04:03:35-08:00,22.29,178.079,11.655,7.3709999999999996,-0.828,416.01,21.5,36.6,0.0,0.05,0.13,0.0,0.0,1,14.02,50.35,32.18,1,-9,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.1256
2025-02-23 04:04:35-08:00,22.29,177.716,11.133,6.7515,0.624,416.0,21.4,36.5,0.0,0.33,0.36,0.0,0.0,1,13.98,14.22,26.78,1,-9,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.38880000000000003
2025-02-23 04:05:35-08:00,22.29,171.79800000000003,10.376999999999999,7.1505,-1.62,416.16,21.4,36.5,0.0,0.45,0.46,0.0,0.0,1,13.95,4.02,28.88,1,-6,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.035999999999999976
2025-02-23 04:06:35-08:00,22.29,175.824,10.520999999999999,7.308,-0.108,416.7,21.4,36.5,0.0,0.4,0.55,0.0,0.0,1,13.95,1.13,30.84,1,-9,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.29840000000000005
2025-02-23 04:07:37-08:00,22.29,176.143,11.727,7.707,-0.804,416.68,21.4,36.5,0.0,0.25,0.45,0.0,0.0,1,13.91,0.32,35.96,1,-8,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.039199999999999985
2025-02-23 04:08:37-08:00,22.29,175.38400000000001,10.971,8.211,-1.26,416.89,21.4,36.5,0.0,0.25,0.45,0.0,0.0,1,13.87,0.09,32.09,1,-7,49.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.05199999999999999
2025-02-23 04:09:37-08:00,22.29,175.967,10.754999999999999,8.4105,-2.4839999999999995,416.96,21.4,36.5,0.0,0.21,0.45,0.0,0.0,1,13.87,0.03,29.18,1,-8,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.32879999999999987
2025-02-23 04:10:37-08:00,22.29,172.535,11.25,7.591500000000001,-0.384,417.49,21.4,36.5,0.0,0.07,0.19,0.0,0.0,1,13.87,0.01,28.26,1,-7,47.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.0208
2025-02-23 04:11:37-08:00,22.29,175.52700000000002,11.826,8.8725,-2.5079999999999996,417.33,21.4,36.5,0.0,0.11,0.23,0.0,0.0,1,13.84,0.0,28.68,1,-8,47.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.4135999999999999
2025-02-23 04:12:37-08:00,22.28,176.45100000000002,11.088000000000001,7.875,-2.052,417.12,21.4,36.5,0.0,0.19,0.41,0.0,0.0,1,14.12,232.84,38.24,1,-8,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.2584
2025-02-23 04:13:37-08:00,22.29,176.23100000000002,11.772,6.888,-0.108,417.04,21.4,36.5,0.0,0.21,0.28,0.0,0.0,1,14.02,65.76,29.28,1,-8,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.1464
2025-02-23 04:14:38-08:00,22.29,179.33300000000003,11.376000000000001,8.1165,-2.64,417.01,21.4,36.5,0.0,0.34,0.68,0.0,0.0,1,13.98,18.57,28.07,1,-10,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.256
