DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,127,80,2,-7,6,0,0.00000,0.00000.1,0.1,3394425633,216,83,-10,0.2,1121389567,AQI
2025-02-20 23:44:51-08:00,23.19,179.78400000000002,10.485000000000001,10.2375,3.0,480.75,22.2,30.3,0.01,0.42,0.42,0.0,0.0,1,13.91,0.14,32.89,1,-2,59.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9360000000000002
2025-02-20 23:45:52-08:00,23.19,181.01600000000002,10.620000000000001,8.693999999999999,4.092,480.91,22.2,30.3,0.0,0.48,0.48,0.0,0.0,1,13.87,0.04,29.94,1,-2,58.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2024
2025-02-20 23:46:52-08:00,23.19,180.04800000000003,10.386,9.240000000000002,3.6719999999999997,480.97,22.2,30.3,0.0,0.39,0.46,0.0,0.0,1,13.87,0.01,25.92,1,-2,58.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.0464
2025-02-20 23:47:52-08:00,23.19,181.412,9.999,9.723,3.1079999999999997,480.99,22.2,30.4,0.0,0.91,0.94,0.0,0.0,1,13.87,0.0,30.1,1,-3,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3496000000000001
2025-02-20 23:48:52-08:00,23.19,178.81600000000003,9.405,8.4945,5.904,481.0,22.2,30.3,0.08,0.57,0.81,0.0,0.0,1,14.16,301.7,38.58,1,-1,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.6368
2025-02-20 23:49:52-08:00,23.19,184.49200000000002,9.99,8.883000000000001,4.5,481.0,22.2,30.3,0.03,0.26,0.45,0.0,0.0,1,14.05,114.06,28.05,1,-4,58.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.108
2025-02-20 23:50:52-08:00,23.19,185.03100000000003,10.206,9.491999999999999,3.9839999999999995,481.27,22.2,30.3,0.01,0.18,0.32,0.0,0.0,1,14.02,32.21,27.34,1,-4,59.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9408
2025-02-20 23:51:52-08:00,23.19,186.56,8.874,10.195500000000001,3.12,481.71,22.2,30.3,0.0,0.43,0.66,0.0,0.0,1,13.98,9.1,28.52,1,-5,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9680000000000002
2025-02-20 23:52:53-08:00,23.19,184.64600000000004,9.0,9.891,2.424,481.9,22.2,30.3,0.0,0.26,0.5,0.0,0.0,1,13.95,2.57,29.74,1,-5,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.6928000000000001
2025-02-20 23:53:53-08:00,23.19,183.96400000000003,9.297,10.2585,3.2039999999999997,482.59,22.2,30.4,0.0,0.41,0.49,0.0,0.0,1,13.91,0.73,32.42,1,-4,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9688000000000001
