DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,167,50,3,1973479744,93,43,1,-2,480185926,AQI
2025-03-15 10:25:32-07:00,22.38,302.599,10.971,10.0905,17.76,403.82,21.3,26.8,5.26,7.49,7.5,29.0,2.0,4.0,,,,,,,9.544
2025-03-15 10:26:32-07:00,22.38,310.80500000000006,11.943,10.668000000000001,16.439999999999998,403.94,21.3,26.9,4.92,6.9,6.91,29.0,2.0,3.0,,,,,,,8.808
2025-03-15 10:27:32-07:00,22.38,317.581,10.665,10.153500000000001,17.712,403.98,21.3,26.9,4.34,6.46,6.52,29.0,2.0,3.0,,,,,,,8.7104
2025-03-15 10:28:32-07:00,22.38,311.63000000000005,12.834,10.825500000000002,15.372,403.99,21.3,26.9,4.68,6.49,6.64,28.0,2.0,3.0,,,,,,,8.2664
2025-03-15 10:29:32-07:00,22.38,306.13000000000005,12.564000000000002,10.899000000000001,16.392,404.0,21.3,26.9,4.12,5.82,5.86,28.0,2.0,3.0,,,,,,,7.9344
2025-03-15 10:30:32-07:00,22.38,314.13800000000003,11.997,10.143,16.752,403.82,21.3,26.9,4.35,6.13,6.23,26.0,2.0,3.0,,,,,,,8.2544
2025-03-15 10:31:33-07:00,22.38,310.66200000000003,11.124,11.802000000000001,14.472,403.94,21.3,26.9,4.69,6.55,6.69,28.0,2.0,3.0,,,,,,,8.1344
2025-03-15 10:32:34-07:00,22.38,311.57500000000005,11.817,11.046,15.024,403.98,21.3,26.9,4.85,7.01,7.05,27.0,2.0,3.0,,,,,,,8.6128
2025-03-15 10:33:34-07:00,22.37,295.13000000000005,11.088000000000001,9.3345,17.952,403.76,21.3,26.9,4.53,6.9,6.92,29.0,2.0,4.0,,,,,,,9.110400000000002
2025-03-15 10:34:34-07:00,22.37,308.99,13.095,10.542,15.696,402.97,21.3,26.9,4.16,6.23,6.24,27.0,2.0,3.0,,,,,,,8.1232
2025-03-15 10:35:34-07:00,22.38,307.41700000000003,12.276000000000002,10.521,16.788,402.05,21.3,26.9,3.69,5.84,6.03,28.0,2.0,4.0,,,,,,,8.0296
2025-03-15 10:36:34-07:00,22.37,314.16,13.176,10.6575,17.22,401.45,21.3,26.9,3.89,5.92,5.99,27.0,1.0,4.0,,,,,,,8.18
2025-03-15 10:37:34-07:00,22.37,304.733,12.438,10.709999999999999,16.907999999999998,401.81,21.3,26.9,4.33,6.47,6.58,28.0,1.0,4.0,,,,,,,8.5576
2025-03-15 10:38:35-07:00,22.37,315.722,11.25,10.825500000000002,16.452,401.93,21.3,26.9,4.05,5.7,5.79,29.0,2.0,4.0,,,,,,,7.8504000000000005
2025-03-15 10:39:35-07:00,22.37,312.972,13.23,10.8465,16.907999999999998,401.98,21.3,26.9,4.14,5.72,6.02,27.0,2.0,4.0,,,,,,,7.957599999999999
2025-03-15 10:40:35-07:00,22.37,308.12100000000004,13.023000000000001,10.615499999999999,17.088,402.45,21.3,26.9,4.56,5.92,6.14,27.0,2.0,4.0,,,,,,,8.1536
2025-03-15 10:41:35-07:00,22.37,306.82300000000004,12.438,10.668000000000001,15.468,402.81,21.3,27.0,4.47,6.12,6.33,28.0,2.0,3.0,,,,,,,7.989600000000001
2025-03-15 10:42:30-07:00,22.36,291.049,11.682,10.311,16.128,402.93,21.3,27.0,4.5,6.49,6.99,29.0,2.0,3.0,,,,,,,8.4176
2025-03-15 10:43:30-07:00,22.35,303.149,11.637,10.573500000000001,14.772,402.97,21.3,26.9,4.7,6.6,7.15,29.0,1.0,3.0,,,,,,,8.2344
2025-03-15 10:44:30-07:00,22.33,314.17100000000005,11.421,10.993500000000001,15.935999999999998,402.99,21.3,26.9,4.0,6.35,6.53,29.0,2.0,3.0,,,,,,,8.267199999999999
2025-03-15 10:45:30-07:00,22.32,314.215,9.846,11.0565,15.684,403.0,21.3,27.0,3.95,5.69,5.78,30.0,2.0,3.0,,,,,,,7.6888000000000005
