DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,AQHI,NO2_contrib,O3_contrib,PM25_contrib,Top_AQHI_Contributor
2025-05-05T09:27:24,16.45,106.909,17.775000000000002,12.6105,7.284,421.08,20.9,35.4,1.34,2.12,2.12,1.8267273561394493,0.8027664682460541,0.1251132642019993,0.07212026755194655,NO2
2025-05-05T09:28:24,16.48,110.825,18.27,13.2825,5.892,421.03,20.9,35.4,1.13,1.78,1.78,1.824350821604259,0.8026866674624515,0.12557318911844162,0.07174014341910688,NO2
2025-05-05T09:29:24,16.54,115.56600000000002,17.415000000000003,13.671,4.788,420.93,21.0,35.2,1.28,2.07,2.07,1.8220553974124039,0.8025845637090935,0.12582796724509204,0.07158746904581449,NO2
2025-05-05T09:30:24,16.57,114.68600000000002,17.307000000000002,11.2665,7.788,420.91,21.1,34.7,1.3,2.37,2.37,1.8196401425151263,0.8021235080525144,0.12635148047703226,0.07152501147045334,NO2
2025-05-05T09:31:24,16.63,110.418,17.217,11.413499999999999,6.371999999999999,420.97,21.1,34.4,1.19,2.45,2.45,1.8175098991260248,0.8017074665764526,0.1266894230027271,0.07160311042082027,NO2
2025-05-05T09:32:24,16.67,105.391,17.928,11.277000000000001,8.688,420.99,21.1,34.6,1.54,2.2,2.51,1.8163658016810582,0.8009455461318618,0.12738472900529058,0.07166972486284764,NO2
2025-05-05T09:33:24,16.73,98.20800000000001,17.613,10.479000000000001,10.296,421.0,21.1,34.6,1.66,2.38,2.48,1.8153040699179948,0.7996601137557079,0.12855792675233874,0.07178195949195332,NO2
2025-05-05T09:34:24,16.76,94.85300000000001,18.171000000000003,10.2585,9.144,421.0,21.0,34.7,1.25,2.12,2.16,1.8138934158385922,0.7986717070399935,0.12944167997801478,0.07188661298199177,NO2
2025-05-05T09:35:25,16.76,99.25300000000001,18.702,11.3085,8.723999999999998,421.05,20.9,34.6,1.65,2.43,2.44,1.8125973792564352,0.7979842867808932,0.1299397309502433,0.07207598226886354,NO2
2025-05-05T09:36:25,16.79,96.40400000000001,18.054,9.4605,12.084,421.02,20.9,34.4,1.7,2.65,2.78,1.8114353685338764,0.7966346762444156,0.13111655253873092,0.07224877121685348,NO2
2025-05-05T09:37:25,16.83,86.46,18.144000000000002,9.2925,11.508,420.78,20.7,34.5,1.39,2.32,2.38,1.8096405643385471,0.7954710687695139,0.1320818245552067,0.07244710667527936,NO2
2025-05-05T09:38:25,16.85,94.831,17.757,10.521,10.692,420.27,20.6,35.2,1.18,2.44,2.46,1.808237209197863,0.7942155329155183,0.13314427268732396,0.0726401943971578,NO2
2025-05-05T09:39:25,16.86,94.73200000000001,18.63,11.76,8.436,420.1,20.5,35.5,1.38,2.34,2.44,1.8071694609909819,0.7932553231947298,0.1339390353345167,0.07280564147075348,NO2
