DATE,CO,NO,NO2,O3,CO2,PM2.5,AQHI,NO2_contrib,O3_contrib,PM25_contrib,Top_AQHI_Contributor
2025-07-31T04:42:00Z,0.17529981488296661,5.995115777865793,11.714167555547277,16.774604666822192,448.5902364808834,3.072642750677798,2,0.48149352133523204,0.45189391034672166,0.06661256831804628,NO2
2025-07-31T04:57:00Z,0.17224572598436658,5.562905333445263,11.831575777745673,21.823928222250455,442.7380264093601,3.0693362168215566,2,0.4775524028706256,0.4558345490768456,0.06661304805252873,NO2
2025-07-31T05:12:00Z,0.17534689636463333,5.8064124444551615,10.904432512914369,17.399169111248543,439.05103160690993,3.0591077506701607,2,0.4744015938949783,0.45826343842946055,0.06733496767556109,NO2
2025-07-31T05:27:00Z,0.17085368895030004,5.450688222240762,9.279986222295845,18.660663111314946,436.4065595996535,3.058945182120575,2,0.4681280476228368,0.46352646037262546,0.06834549200453778,NO2
2025-07-31T05:42:00Z,0.15282355561526648,5.1348451112576035,6.522905555716798,23.617413777692864,434.7434520989966,3.0588145522421013,2,0.45001929612519403,0.48068854917388737,0.06929215470091858,O3
2025-07-31T05:57:00Z,0.16024017784676667,4.146520444497436,7.034097111165532,19.81813266640318,437.96340901627025,3.057204893333031,2,0.4388946243519272,0.4904754986386741,0.07062987700939864,O3
2025-07-31T06:12:00Z,0.1748673333892666,4.722395555547537,9.241915555522233,17.992879111081155,445.37225364390684,3.056760161729221,2,0.4325875431648685,0.49559399802447873,0.07181845881065275,O3
2025-07-31T06:27:00Z,0.17575445930749997,4.39410622220207,9.564345777690669,17.63801755549895,449.47628172562014,3.0536983489287213,2,0.4253451564444727,0.5018219430344756,0.07283290052105175,O3
2025-07-31T06:42:00Z,0.17684336300070003,4.215784222177904,9.6829733332256,17.282784888582892,440.45672030374027,3.0532684091223024,2,0.41792533364455225,0.5082108889975433,0.07386377735790446,O3
2025-07-31T06:57:00Z,0.18196383707596683,3.9089475555373374,9.9383337776295,17.64520222179997,444.7393856852034,3.0497817825806104,2,0.422141960459819,0.503357957709757,0.074500081830424,O3
